label,text
spam,"Free entry in 2 a weekly competition to win FA Cup tickets. Text WIN to 87121 now!"
spam,"URGENT! You have won a 1 week FREE membership in our prize jackpot. Call now!"
spam,"Congratulations! You've been selected for a $1000 Walmart gift card. Click here."
spam,"Earn money fast from home. Limited time offer!!! $$$"
spam,"Act now! Claim your exclusive 90% discount before midnight!"
spam,"You have been pre-approved for a loan. No credit check required."
spam,"Winner! Text CASH to 12345 to receive your reward."
spam,"Final notice: Your account will be suspended unless you verify immediately."
spam,"Claim your free crypto bonus today!"
spam,"Hot singles in your area waiting now! Click here!"
ham,"Hey, are we still meeting at 6pm today?"
ham,"Can you send me the report before noon please?"
ham,"Don't forget to buy milk on your way home."
ham,"Thanks for your help yesterday, really appreciate it."
ham,"I'll call you when I arrive."
ham,"Are you coming to the party this weekend?"
ham,"Let's reschedule our appointment to next Tuesday."
ham,"Did you see the game last night?"
ham,"I'll be late by 10 minutes."
ham,"Please review the document I shared."
spam,"Exclusive deal just for you! Limited stock remaining!"
spam,"Your package delivery failed. Click to reschedule."
spam,"Investment opportunity guaranteed 20% returns weekly."
spam,"Win a free iPhone by completing this short survey."
spam,"You have an unpaid tax refund waiting. Submit details now."
ham,"Can you pick up the kids from school today?"
ham,"Meeting moved to 3pm, see you there."
ham,"Happy birthday! Hope you have a great day."
ham,"I'll send the invoice later tonight."
ham,"Let me know if you need anything."
spam,"Flash sale! 70% off everything today only!"
spam,"Immediate action required. Confirm your bank details."
spam,"Double your income in 30 days. Proven system!"
spam,"Get cheap meds without prescription. Order now."
ham,"What time does the movie start?"
ham,"Thanks, that works for me."
ham,"I'll email you the updated version."
ham,"Let's catch up soon."
ham,"See you tomorrow morning."
